编号	中文名	甜	辣	酸	苦	鲜	增幅等级	饱腹能量
1	樱子果	0	10	0	0	0	1	60
2	零余果	0	0	0	0	10	1	60
3	桃桃果	10	0	0	0	0	1	60
4	莓莓果	0	0	0	10	0	1	60
5	利木果	0	0	10	0	0	1	60
6	橙橙果	0	5	5	5	5	1	60
7	柿仔果	5	5	5	0	5	1	60
8	木子果	5	5	0	5	5	2	65
9	文柚果	5	0	5	5	5	2	65
10	榴石果	10	10	0	10	0	2	65
11	藻根果	0	0	10	10	10	2	65
12	比巴果	10	10	10	0	0	2	65
13	哈密果	0	10	0	10	10	2	65
14	萄葡果	10	0	10	0	10	2	65
15	茄番果	0	15	0	0	10	2	65
16	巧可果	10	15	0	0	0	3	70
17	千香果	0	0	0	10	15	3	70
18	烛木果	15	0	10	0	0	3	70
19	罗子果	0	10	0	15	0	3	70
20	番荔果	0	0	15	0	10	3	70
21	莲蒲果	0	15	0	10	0	3	70
22	通通果	0	0	10	0	15	3	70
23	腰木果	15	10	0	0	0	3	70
24	棱瓜果	0	0	0	15	10	3	70
25	福禄果	10	0	15	0	0	3	70
26	扁樱果	0	20	10	0	0	3	70
27	草蚕果	0	10	0	0	20	3	70
28	佛柑果	20	0	0	0	10	3	70
29	莓榴果	10	0	0	20	0	3	70
30	刺耳果	0	0	20	10	0	3	70
31	霹霹果	0	25	0	0	10	3	70
32	灯浆果	10	0	0	0	25	3	70
33	洛玫果	25	0	0	10	0	3	70
34	异次元樱子果	0	40	0	0	0	5	80
35	异次元零余果	0	0	0	0	40	3	100
36	异次元桃桃果	40	0	0	0	0	2	100
37	异次元莓莓果	0	0	0	40	0	3	110
38	异次元利木果	0	0	40	0	0	4	90
39	异次元橙橙果	10	20	15	15	0	6	90
40	异次元柿仔果	0	15	15	10	20	4	110
41	异次元木子果	20	15	10	0	15	3	110
42	异次元文柚果	15	10	0	20	15	4	120
43	异次元榴石果	30	35	0	0	5	7	140
44	异次元藻根果	5	0	0	30	35	5	160
45	异次元比巴果	35	0	30	5	0	4	160
46	异次元哈密果	0	5	35	0	30	6	150
47	异次元萄葡果	0	60	25	0	5	8	140
48	异次元茄番果	5	25	0	0	60	6	180
49	异次元巧可果	60	0	0	5	25	5	180
50	异次元千香果	25	0	5	60	0	6	200
51	异次元烛木果	0	5	60	25	0	7	160
52	异次元罗子果	15	55	0	5	25	9	210
53	异次元番荔果	25	0	5	15	55	7	250
54	异次元莲蒲果	55	5	15	25	0	6	250
55	异次元通通果	0	15	25	55	5	7	270
56	异次元腰木果	5	25	55	0	15	8	230
57	异次元棱瓜果	10	95	0	10	5	10	240
58	异次元福禄果	5	0	10	10	95	8	300
59	异次元扁樱果	95	10	10	5	0	7	300
60	异次元草蚕果	0	10	5	95	10	8	330
61	异次元佛柑果	10	5	95	0	10	9	270
62	异次元莓榴果	85	0	0	0	65	8	370
63	异次元刺耳果	0	0	65	0	85	9	370
64	异次元霹霹果	0	0	65	85	0	9	400
65	异次元灯浆果	0	85	0	65	0	9	370
66	异次元洛玫果	0	65	85	0	0	10	340
