编号	中文名	日文名	英文名	分类	图标	价格	口袋	排序编号	超级碎片	彩色螺丝	描述
17	伤药	キズぐすり	Potion	2	17	150	0	1			喷雾式伤药。能让１只宝可梦回复２０ＨＰ。
26	好伤药	いいキズぐすり	Super Potion	2	26	400	0	2			喷雾式伤药。能让１只宝可梦回复６０ＨＰ。
25	厉害伤药	すごいキズぐすり	Hyper Potion	2	25	600	0	3			喷雾式伤药。能让１只宝可梦回复１２０ＨＰ。
24	全满药	まんたんのくすり	Max Potion	2	24	1200	0	4			喷雾式伤药。能让１只宝可梦回复所有ＨＰ。
23	全复药	かいふくのくすり	Full Restore	2	23	1500	0	5			能回复１只宝可梦的所有ＨＰ并治愈所有异常状态。
28	活力碎片	げんきのかけら	Revive	2	28	800	0	6			能让１只陷入昏厥的宝可梦重获生机，并回复一半ＨＰ。
29	活力块	げんきのかたまり	Max Revive	2	29	2000	0	7			能让１只陷入昏厥的宝可梦重获生机，并回复所有ＨＰ。
30	美味之水	おいしいみず	Fresh Water	2	30	200	0	8			富含矿物质的水。能让１只宝可梦回复３０ＨＰ。
31	劲爽汽水	サイコソーダ	Soda Pop	2	31	300	0	9			翻腾着气泡的汽水。能让１只宝可梦回复５０ＨＰ。
32	果汁牛奶	ミックスオレ	Lemonade	2	32	400	0	10			非常香甜的牛奶。能让１只宝可梦回复７０ＨＰ。
33	哞哞鲜奶	モーモーミルク	Moomoo Milk	2	33	600	0	11			营养百分百的牛奶。能让１只宝可梦回复１００ＨＰ。
18	解毒药	どくけし	Antidote	2	18	100	0	12			喷雾式药水。能治愈１只宝可梦的中毒状态。
22	解麻药	まひなおし	Paralyze Heal	2	22	100	0	13			喷雾式药水。能治愈１只宝可梦的麻痹状态。
19	灼伤药	やけどなおし	Burn Heal	2	19	100	0	14			喷雾式药水。能治愈１只宝可梦的灼伤状态。
20	解冻药	こおりなおし	Ice Heal	2	20	100	0	15			喷雾式药水。能治愈１只宝可梦的冰冻状态。
21	解眠药	ねむけざまし	Awakening	2	21	100	0	16			喷雾式药水。能治愈１只宝可梦的睡眠状态。
27	万灵药	なんでもなおし	Full Heal	2	27	200	0	17			喷雾式药水。能治愈１只宝可梦的所有异常状态。
