属性	星级	编号	总编号	重点	宝可梦
一般	1	1	1	016-0|504-0|659-0	016-0+14+16+1+23+25+100|504-0+14+16+1+23+25+100|659-0+14+16+1+23+25+100
一般	1	2	2	661-0|504-0|016-0	661-0+14+16+1+23+25+100|504-0+14+16+1+23+25+100|016-0+14+16+1+23+25+100
一般	1	3	3	052-0|659-0|504-0	052-0+16+18+1+25+27+100|659-0+14+16+1+23+25+100|504-0+14+16+1+23+25+100
一般	1	4	4	052-0|659-0|661-0	052-0+16+18+1+25+27+100|659-0+14+16+1+23+25+100|661-0+14+16+1+23+25+100
一般	1	5	5	052-0|016-0|504-0	052-0+16+18+1+25+27+100|016-0+14+16+1+23+25+100|504-0+14+16+1+23+25+100
一般	1	6	6	396-0|659-0|661-0	396-0+13+15+1+22+24+100|659-0+14+16+1+23+25+100|661-0+14+16+1+23+25+100
一般	1	7	7	396-0|016-0|661-0	396-0+13+15+1+22+24+100|016-0+14+16+1+23+25+100|661-0+14+16+1+23+25+100
一般	1	8	8	396-0|504-0|659-0	396-0+13+15+1+22+24+100|504-0+14+16+1+23+25+100|659-0+14+16+1+23+25+100
一般	1	9	9	960-0|960-1|960-2	960-0+17+19+1+26+28+100|960-1+17+19+1+26+28+100|960-2+17+19+1+26+28+100
一般	1	10	10	960-0|960-1|960-3	960-0+17+19+1+26+28+100|960-1+17+19+1+26+28+100|960-3+17+19+1+26+28+100
一般	2	1	11	505-0|659-0|427-0	505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80|659-0+17+19+1+26+28+100|427-0+17+19+1+26+28+100
一般	2	2	12	397-0|016-0|661-0	397-0+18+20+1+27+29+20|396-0+15+17+1+24+26+80|016-0+16+18+1+25+27+100|661-0+16+18+1+25+27+100
一般	2	3	13	397-0|133-0|427-0	397-0+18+20+1+27+29+20|396-0+15+17+1+24+26+80|133-0+17+19+1+26+28+100|427-0+17+19+1+26+28+100
一般	2	4	14	397-0|661-0|505-0	397-0+18+20+1+27+29+20|396-0+15+17+1+24+26+80|661-0+16+18+1+25+27+100|505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80
一般	2	5	15	335-0|505-0|427-0	335-0+23+25+1+32+34+100|505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80|427-0+17+19+1+26+28+100
一般	2	6	16	335-0|133-0|505-0	335-0+23+25+1+32+34+100|133-0+17+19+1+26+28+100|505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80
一般	2	7	17	335-0|427-0|016-0	335-0+23+25+1+32+34+100|427-0+17+19+1+26+28+100|016-0+16+18+1+25+27+100
一般	2	8	18	083-0|427-0|505-0	083-0+18+20+1+27+29+100|427-0+17+19+1+26+28+100|505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80
一般	2	9	19	083-0|427-0|016-0	083-0+18+20+1+27+29+100|427-0+17+19+1+26+28+100|016-0+16+18+1+25+27+100
一般	2	10	20	083-0|133-0|505-0	083-0+18+20+1+27+29+100|133-0+17+19+1+26+28+100|505-0+21+23+1+30+32+20|504-0+17+19+1+26+28+80
一般	3	1	21	017-0|428-0|531-0	017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80|531-0+33+35+1+42+44+100
一般	3	2	22	017-0|428-0|660-0	017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80
一般	3	3	23	053-0|660-0|531-0	053-0+28+30+1+37+39+20|052-0+22+24+1+31+33+80|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80|531-0+33+35+1+42+44+100
一般	3	4	24	053-0|017-0|428-0	053-0+28+30+1+37+39+20|052-0+22+24+1+31+33+80|017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80
一般	3	5	25	969-0|428-0|531-0	969-0+28+30+1+37+39+20|968-0+22+24+1+31+33+80|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80|531-0+33+35+1+42+44+100
一般	3	6	26	969-0|017-0|531-0	969-0+28+30+1+37+39+20|968-0+22+24+1+31+33+80|017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|531-0+33+35+1+42+44+100
一般	3	7	27	876-0|660-0|017-0	876-0+24+26+1+33+35+100|876-1+24+26+1+33+35+100|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80|017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80
一般	3	8	28	876-0|428-0|531-0	876-0+24+26+1+33+35+100|876-1+24+26+1+33+35+100|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80|531-0+33+35+1+42+44+100
一般	3	9	29	137-0|660-0|428-0	137-0+21+23+1+30+32+100|660-0+24+26+1+33+35+20|659-0+21+23+1+30+32+80|428-0+26+28+1+35+37+20|427-0+21+23+1+30+32+80
一般	3	10	30	137-0|017-0|531-0	137-0+21+23+1+30+32+100|017-0+24+26+1+33+35+20|016-0+20+22+1+29+31+80|531-0+33+35+1+42+44+100
一般	4	1	31	115-0|780-0|676-0	115-0+39+41+1+48+50+100|780-0+40+42+1+49+51+100|676-0+37+39+1+46+48+100
一般	4	2	32	018-0|115-0|676-0	018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|115-0+39+41+1+48+50+100|676-0+37+39+1+46+48+100
一般	4	3	33	018-0|780-0|676-0	018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|780-0+40+42+1+49+51+100|676-0+37+39+1+46+48+100
一般	4	4	34	352-0|018-0|676-0	352-0+38+40+1+47+49+100|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|676-0+37+39+1+46+48+100
一般	4	5	35	352-0|018-0|115-0	352-0+38+40+1+47+49+100|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|115-0+39+41+1+48+50+100
一般	4	6	36	398-0|018-0|780-0	398-0+40+42+1+49+51+20|397-0+35+37+1+44+46+80|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|780-0+40+42+1+49+51+100
一般	4	7	37	398-0|018-0|115-0	398-0+40+42+1+49+51+20|397-0+35+37+1+44+46+80|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|115-0+39+41+1+48+50+100
一般	4	8	38	953-0|115-0|780-0	953-0+38+40+1+47+49+100|115-0+39+41+1+48+50+100|780-0+40+42+1+49+51+100
一般	4	9	39	953-0|018-0|695-0	953-0+38+40+1+47+49+100|018-0+41+43+1+50+52+20|017-0+36+38+1+45+47+80|695-0+39+41+1+48+50+20|694-0+36+38+1+45+47+80
