编号	名称	地点	X	Y	道具	图标
1	itb_a0101_01	南侧大道	3445	3393	精灵球	bag-精灵球
2	itb_a0101_02	翡绿７号街区	3349	3302	捕网球	bag-精灵球
3	itb_a0101_03	翡绿７号街区	3225	3389	ＨＰ增强剂	bag-道具
4	itb_a0101_04	翡绿６号街区	3480	2672	超级球	bag-精灵球
5	itb_a0101_05	翡绿大道	2371	2287	好伤药	bag-回复
6	itb_a0101_06	南侧大道	3581	3318	解毒药	bag-回复
7	itb_a0101_07	翡绿６号街区	3665	2653	精灵球	bag-精灵球
8	itb_a0101_08	翡绿６号街区	3537	3001	精灵球	bag-精灵球
9	itb_a0101_09	翡绿６号街区	3368	2943	解麻药	bag-回复
10	itb_a0101_10	翡绿６号街区	3524	2831	解眠药	bag-回复
11	itb_a0101_11	翡绿６号街区	3591	2743	伤药	bag-回复
12	itb_a0101_12	翡绿６号街区	3689	2833	万灵药	bag-回复
13	itb_a0101_13	翡绿６号街区	3583	2773	灼伤药	bag-回复
14	itb_a0101_14	库流水路	3244	2894	全满药	bag-回复
15	itb_a0101_15	翡绿大道	2460	2440	全复药	bag-回复
16	itb_a0101_16	翡绿７号街区	3287	3300	捕网球	bag-精灵球
17	itb_a0101_17	翡绿８号街区	3013	3243	厉害伤药	bag-回复
18	itb_a0101_18	翡绿６号街区	3411	2804	伤药	bag-回复
19	itb_a0101_19	库流水路	3262	2694	精灵球	bag-精灵球
20	itb_a0101_20	翡绿１号街区	2649	2323	速度增强剂	bag-道具
21	itb_a0101_21	１７号野生特区	3171	3181	招式学习器０６２	bag-招式学习器
22	itb_a0101_22	翡绿６号街区	3649	3117	超级球	bag-精灵球
23	itb_a0101_23	翡绿６号街区	3554	3019	伤药	bag-回复
24	itb_a0101_24	翡绿６号街区	3514	3126	神奇糖果	bag-道具
25	itb_a0101_25	翡绿１号街区	2488	2422	彩色螺丝	colorful-screw
26	itb_a0101_26	１７号野生特区	3145	3230	伤药	bag-回复
27	itb_a0101_27	库流水路	2964	3187	潜水球	bag-精灵球
28	itb_a0101_28	１７号野生特区	3080	3075	神奇糖果	bag-道具
29	itb_a0101_29	１７号野生特区	3147	3216	巨大金珠	bag-宝物
30	itb_a0101_30	库流水路	3206	2970	厉害伤药	bag-回复
31	itb_a0101_31	翡绿７号街区	3386	3082	特攻增强剂	bag-道具
32	itb_a0101_32	翡绿６号街区	3511	2887	防御增强剂	bag-道具
33	itb_a0101_33	翡绿６号街区	3569	2831	豪华球	bag-精灵球
34	itb_a0101_34	翡绿６号街区	3681	2791	活力块	bag-回复
35	itb_a0101_35	翡绿６号街区	3672	2837	暗之石	bag-道具
36	itb_a0101_36	翡绿６号街区	3287	2662	经验糖果Ｓ	bag-道具
37	itb_a0101_37	库流水路	3200	2876	解眠药	bag-回复
38	itb_a0101_38	１７号野生特区	3099	3069	超级球	bag-精灵球
39	itb_a0101_39	１１号野生特区	3188	2498	好伤药	bag-回复
40	itb_a0101_40	库流水路	3161	2475	解毒药	bag-回复
41	itb_a0101_41	翡绿３号街区	3044	2432	解眠药	bag-回复
42	itb_a0101_42	２号野生特区	2773	2568	神奇糖果	bag-道具
43	itb_a0101_43	翡绿３号街区	2938	2557	好伤药	bag-回复
44	itb_a0101_44	翡绿３号街区	3036	2507	潜水球	bag-精灵球
45	itb_a0101_45	库流水路	3075	2722	伤药	bag-回复
