编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	013-0	6	8	0	6	8
2	016-0	6	8	0	6	8
3	069-0	10	12	0	10	12
4	129-0	11	13	0	11	13
5	167-0	11	13	0	11	13
6	406-0	11	13	0	11	13
7	504-0	12	14	0	12	14
8	568-0	12	14	0	12	14
9	661-0	6	8	0	6	8
10	669-0	10	12	0	10	12
11	669-1	10	12	0	10	12
12	669-2	10	12	0	10	12
13	669-3	10	12	0	10	12
14	669-4	10	12	0	10	12
15	702-0	16	18	0	16	18
16	702-0	16	18	20	26	28
17	702-0	16	18	40	26	28
18	172-0	11	13	0	11	13
19	173-0	11	13	0	11	13
20	014-0	8	10	0	8	10
21	015-0	11	13	0	11	13
22	017-0	19	21	0	19	21
23	018-0	37	39	0	37	39
24	023-0	12	14	0	12	14
25	664-6	6	8	0	6	8
26	665-6	10	12	0	10	12
27	666-6	13	15	0	13	15
28	659-0	14	16	0	14	16
29	662-0	18	20	0	18	20
30	663-0	36	38	0	36	38
31	677-0	13	15	0	13	15
32	670-0	20	22	0	20	22
33	670-1	20	22	0	20	22
34	670-2	20	22	0	20	22
35	670-3	20	22	0	20	22
36	670-4	20	22	0	20	22
37	063-0	18	20	0	18	20
38	353-0	19	21	0	19	21
39	092-0	15	17	0	15	17
40	093-0	26	28	0	26	28
41	333-0	16	18	0	16	18
42	280-0	11	13	0	11	13
43	280-0	11	13	20	21	23
44	280-0	11	13	40	21	23
45	511-0	14	16	0	14	16
46	513-0	14	16	0	14	16
47	515-0	14	16	0	14	16
48	682-0	17	19	0	17	19
49	684-0	17	19	0	17	19
50	133-0	15	17	0	15	17
51	303-0	19	21	0	19	21
52	447-0	16	18	0	16	18
53	447-0	16	18	20	26	28
54	447-0	16	18	40	26	28
55	147-0	28	29	0	28	29
56	147-0	28	29	20	38	39
57	147-0	28	29	40	38	39
58	148-0	31	32	0	31	32
59	148-0	31	32	20	41	42
60	148-0	31	32	40	41	42
61	704-0	35	39	0	35	39
62	704-0	35	39	20	45	49
63	704-0	35	39	40	45	49
64	705-0	41	42	0	41	42
65	705-0	41	42	20	51	52
66	705-0	41	42	40	51	52
67	701-0	22	24	0	22	24
68	701-0	22	24	20	32	34
69	701-0	22	24	40	32	34
70	587-0	18	20	0	18	20
71	559-0	21	23	0	21	23
72	714-0	20	22	0	20	22
73	168-0	23	25	0	23	25
74	225-0	31	33	0	31	33
75	246-0	21	23	0	21	23
76	246-0	21	23	20	31	33
77	246-0	21	23	40	31	33
78	359-0	17	19	0	17	19
79	359-0	17	19	20	27	29
80	359-0	17	19	40	27	29
81	688-0	14	16	0	14	16
82	560-0	40	42	0	40	42
83	120-0	17	19	0	17	19
84	427-0	16	18	0	16	18
85	013-0	6	9	0	6	9
86	016-0	6	9	0	6	9
87	069-0	10	13	0	10	13
88	129-0	11	14	0	11	14
89	167-0	11	14	0	11	14
90	406-0	11	14	0	11	14
91	504-0	12	15	0	12	15
92	568-0	12	15	0	12	15
93	661-0	6	9	0	6	9
94	669-0	10	13	0	10	13
95	669-1	10	13	0	10	13
96	669-2	10	13	0	10	13
97	669-3	10	13	0	10	13
98	669-4	10	13	0	10	13
99	702-0	16	19	0	16	19
100	702-0	16	19	20	26	29
101	702-0	16	19	40	26	29
102	172-0	11	14	0	11	14
103	173-0	11	14	0	11	14
104	014-0	8	11	0	8	11
105	015-0	11	14	0	11	14
106	017-0	19	22	0	19	22
107	018-0	37	40	0	37	40
108	023-0	12	15	0	12	15
109	664-6	6	9	0	6	9
110	665-6	10	13	0	10	13
111	666-6	13	16	0	13	16
112	659-0	12	15	0	12	15
113	659-0	14	17	0	14	17
114	662-0	18	21	0	18	21
115	663-0	36	39	0	36	39
116	677-0	13	16	0	13	16
117	670-0	20	23	0	20	23
118	670-1	20	23	0	20	23
119	670-2	20	23	0	20	23
120	670-3	20	23	0	20	23
121	670-4	20	23	0	20	23
122	063-0	18	21	0	18	21
123	353-0	19	22	0	19	22
124	092-0	15	18	0	15	18
125	093-0	26	29	0	26	29
126	333-0	16	19	0	16	19
127	280-0	11	14	0	11	14
128	280-0	11	14	20	21	24
129	280-0	11	14	40	21	24
130	511-0	14	17	0	14	17
131	511-0	24	27	0	24	27
132	513-0	14	17	0	14	17
133	513-0	24	27	0	24	27
134	515-0	14	17	0	14	17
135	515-0	24	27	0	24	27
136	682-0	17	20	0	17	20
137	684-0	17	20	0	17	20
138	133-0	15	18	0	15	18
139	303-0	19	22	0	19	22
140	447-0	16	19	0	16	19
141	447-0	16	19	20	26	29
142	447-0	16	19	40	26	29
143	148-0	31	33	0	31	33
144	148-0	31	33	20	41	43
145	148-0	31	33	40	41	43
146	705-0	41	43	0	41	43
147	705-0	41	43	20	51	53
148	705-0	41	43	40	51	53
149	701-0	22	25	0	22	25
150	701-0	22	25	20	32	35
151	701-0	22	25	40	32	35
152	587-0	18	21	0	18	21
153	559-0	21	24	0	21	24
154	714-0	20	23	0	20	23
155	168-0	23	26	0	23	26
156	225-0	31	34	0	31	34
157	246-0	21	24	0	21	24
158	246-0	21	24	20	31	34
159	246-0	21	24	40	31	34
160	359-0	17	20	0	17	20
161	359-0	17	20	20	27	30
162	359-0	17	20	40	27	30
163	427-0	16	19	0	16	19
