编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	013-0	5	8	0	5	8
2	016-0	5	8	0	5	8
3	016-0	3	6	0	3	6
4	069-0	9	12	0	9	12
5	129-0	10	13	0	10	13
6	167-0	10	13	0	10	13
7	406-0	10	13	0	10	13
8	504-0	11	14	0	11	14
9	504-0	21	24	0	21	24
10	568-0	11	14	0	11	14
11	661-0	5	8	0	5	8
12	661-0	3	6	0	3	6
13	669-0	9	12	0	9	12
14	669-0	3	6	0	3	6
15	669-1	9	12	0	9	12
16	669-2	9	12	0	9	12
17	669-3	9	12	0	9	12
18	669-4	9	12	0	9	12
19	702-0	15	18	0	15	18
20	702-0	15	18	20	25	28
21	702-0	15	18	40	25	28
22	172-0	10	13	0	10	13
23	173-0	10	13	0	10	13
24	014-0	7	10	0	7	10
25	015-0	10	13	0	10	13
26	017-0	18	21	0	18	21
27	018-0	36	39	0	36	39
28	023-0	11	14	0	11	14
29	664-6	5	8	0	5	8
30	665-6	9	12	0	9	12
31	666-6	12	15	0	12	15
32	659-0	11	14	0	11	14
33	662-0	17	20	0	17	20
34	663-0	35	38	0	35	38
35	677-0	12	15	0	12	15
36	670-0	19	22	0	19	22
37	670-1	19	22	0	19	22
38	670-2	19	22	0	19	22
39	670-3	19	22	0	19	22
40	670-4	19	22	0	19	22
41	063-0	17	20	0	17	20
42	353-0	18	21	0	18	21
43	092-0	14	17	0	14	17
44	093-0	25	28	0	25	28
45	333-0	15	18	0	15	18
46	280-0	10	13	0	10	13
47	280-0	10	13	20	20	23
48	280-0	10	13	40	50	53
49	511-0	13	16	0	13	16
50	513-0	13	16	0	13	16
51	515-0	13	16	0	13	16
52	682-0	16	19	0	16	19
53	684-0	16	19	0	16	19
54	133-0	14	17	0	14	17
55	303-0	18	21	0	18	21
56	447-0	15	18	0	15	18
57	447-0	15	18	20	25	28
58	447-0	15	18	40	25	28
59	147-0	28	29	0	28	29
60	147-0	28	29	20	38	39
61	147-0	28	29	40	38	39
62	148-0	30	32	0	30	32
63	148-0	30	32	20	40	42
64	148-0	30	32	40	40	42
65	704-0	35	39	0	35	39
66	704-0	35	39	20	45	49
67	704-0	35	39	40	45	49
68	705-0	40	42	0	40	42
69	705-0	40	42	20	50	52
70	705-0	40	42	40	50	52
71	701-0	21	24	0	21	24
72	701-0	21	24	20	31	34
73	701-0	21	24	40	31	34
74	587-0	17	20	0	17	20
75	559-0	20	23	0	20	23
76	714-0	19	22	0	19	22
77	168-0	22	25	0	22	25
78	225-0	30	33	0	30	33
79	246-0	20	23	0	20	23
80	246-0	20	23	20	30	33
81	246-0	20	23	40	30	33
82	359-0	16	19	0	16	19
83	359-0	16	19	20	26	29
84	359-0	16	19	40	26	29
85	688-0	14	16	0	14	16
86	560-0	40	42	0	40	42
87	427-0	15	18	0	15	18
88	013-0	5	7	0	5	7
89	013-0	3	5	0	3	5
90	016-0	5	7	0	5	7
91	016-0	3	5	0	3	5
92	069-0	9	11	0	9	11
93	129-0	10	12	0	10	12
94	167-0	10	12	0	10	12
95	406-0	10	12	0	10	12
96	504-0	11	13	0	11	13
97	568-0	11	13	0	11	13
98	568-0	21	23	0	21	23
99	661-0	5	7	0	5	7
100	669-0	9	11	0	9	11
101	669-0	4	6	0	4	6
102	669-1	9	11	0	9	11
103	669-2	9	11	0	9	11
104	669-3	9	11	0	9	11
105	669-4	9	11	0	9	11
106	702-0	15	17	0	15	17
107	702-0	15	17	20	25	27
108	702-0	15	17	40	25	27
109	172-0	10	12	0	10	12
110	173-0	10	12	0	10	12
111	014-0	7	9	0	7	9
112	014-0	7	7	0	7	7
113	015-0	10	12	0	10	12
114	017-0	18	20	0	18	20
115	018-0	36	38	0	36	38
116	023-0	11	13	0	11	13
117	664-6	5	7	0	5	7
118	665-6	9	11	0	9	11
119	666-6	12	14	0	12	14
120	659-0	11	13	0	11	13
121	659-0	3	5	0	3	5
122	662-0	17	19	0	17	19
123	663-0	35	37	0	35	37
124	677-0	12	14	0	12	14
125	670-0	19	21	0	19	21
126	670-1	19	21	0	19	21
127	670-2	19	21	0	19	21
128	670-3	19	21	0	19	21
129	670-4	19	21	0	19	21
130	063-0	17	19	0	17	19
131	063-0	5	7	0	5	7
132	353-0	18	20	0	18	20
133	092-0	14	16	0	14	16
134	093-0	25	27	0	25	27
135	333-0	15	17	0	15	17
