编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	306-0	54	55	5	63	64
2	560-0	54	56	5	63	65
3	569-0	53	55	5	62	64
4	001-0	53	54	5	62	63
5	152-0	54	55	5	63	64
6	407-0	53	54	5	62	63
7	282-0	53	54	5	62	63
8	004-0	53	54	5	62	63
9	498-0	54	55	5	63	64
10	450-0	54	55	5	63	64
11	448-0	54	55	5	63	64
12	007-0	53	54	5	62	63
13	158-0	54	55	5	63	64
14	687-0	54	55	5	63	64
15	691-0	53	54	5	62	63
16	026-0	63	64	100	63	64
17	036-0	63	64	100	63	64
18	065-0	64	65	100	64	65
19	068-0	64	65	100	64	65
20	071-0	63	64	100	63	64
21	094-0	63	64	100	63	64
22	115-0	64	65	100	64	65
23	121-0	63	64	100	63	64
24	127-0	63	64	100	63	64
25	130-0	64	65	100	64	65
26	134-0	63	64	100	63	64
27	135-0	63	64	100	63	64
28	136-0	63	64	100	63	64
29	149-0	64	65	100	64	65
30	168-0	63	64	100	63	64
31	214-0	63	64	100	63	64
32	225-0	63	64	100	63	64
33	227-0	63	64	100	63	64
34	248-0	64	65	100	64	65
35	282-0	64	65	100	64	65
36	302-0	63	64	100	63	64
37	306-0	64	65	100	64	65
38	308-0	63	64	100	63	64
39	334-0	64	65	100	64	65
40	359-0	64	65	100	64	65
41	376-0	63	64	100	63	64
42	407-0	63	64	100	63	64
43	445-0	64	65	100	64	65
44	448-0	64	65	100	64	65
45	450-0	63	64	100	63	64
46	470-0	63	64	100	63	64
47	471-0	63	64	100	63	64
48	475-0	64	65	100	64	65
49	478-0	63	64	100	63	64
50	512-0	63	64	100	63	64
51	514-0	63	64	100	63	64
52	516-0	63	64	100	63	64
53	545-0	63	64	100	63	64
54	553-0	63	64	100	63	64
55	560-0	63	64	100	63	64
56	569-0	64	65	100	64	65
57	584-0	63	64	100	63	64
58	604-0	64	65	100	64	65
59	609-0	64	65	100	64	65
60	618-0	63	64	100	63	64
61	660-0	63	64	100	63	64
62	663-0	63	64	100	63	64
63	666-6	63	64	100	63	64
64	671-0	64	65	100	64	65
65	673-0	63	64	100	63	64
66	675-0	64	65	100	64	65
67	676-0	63	64	100	63	64
68	681-0	64	65	100	64	65
69	687-0	64	65	100	64	65
70	689-0	64	65	100	64	65
71	691-0	64	65	100	64	65
72	695-0	64	65	100	64	65
73	700-0	63	64	100	63	64
74	701-0	63	64	100	63	64
75	702-0	63	64	100	63	64
76	703-0	63	64	100	63	64
77	706-0	64	65	100	64	65
78	707-0	63	64	100	63	64
79	711-0	63	64	100	63	64
80	715-0	63	64	100	63	64
81	780-0	64	65	100	64	65
82	870-0	64	65	100	64	65
