编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	013-0	7	9	0	7	9
2	016-0	7	9	0	7	9
3	069-0	11	13	0	11	13
4	129-0	12	14	0	12	14
5	167-0	12	14	0	12	14
6	406-0	12	14	0	12	14
7	504-0	13	15	0	13	15
8	568-0	13	15	0	13	15
9	568-0	23	25	0	23	25
10	569-0	36	38	0	36	38
11	569-0	38	40	0	38	40
12	661-0	7	9	0	7	9
13	669-0	11	13	0	11	13
14	669-1	11	13	0	11	13
15	669-1	21	23	0	21	23
16	669-2	11	13	0	11	13
17	669-2	21	23	0	21	23
18	669-3	11	13	0	11	13
19	669-3	21	23	0	21	23
20	669-4	11	13	0	11	13
21	702-0	17	19	0	17	19
22	702-0	17	19	20	27	29
23	702-0	17	19	40	27	29
24	172-0	12	14	0	12	14
25	173-0	12	14	0	12	14
26	014-0	9	11	0	9	11
27	015-0	12	14	0	12	14
28	017-0	20	22	0	20	22
29	018-0	38	40	0	38	40
30	018-0	40	42	0	40	42
31	023-0	13	15	0	13	15
32	664-6	7	9	0	7	9
33	665-6	11	13	0	11	13
34	666-6	14	16	0	14	16
35	659-0	13	15	0	13	15
36	662-0	19	21	0	19	21
37	663-0	37	39	0	37	39
38	677-0	14	16	0	14	16
39	670-0	21	23	0	21	23
40	670-1	21	23	0	21	23
41	670-2	21	23	0	21	23
42	670-3	21	23	0	21	23
43	670-4	21	23	0	21	23
44	063-0	19	21	0	19	21
45	353-0	20	22	0	20	22
46	092-0	16	18	0	16	18
47	093-0	27	29	0	27	29
48	333-0	17	19	0	17	19
49	280-0	12	14	0	12	14
50	280-0	12	14	20	22	24
51	280-0	12	14	40	22	24
52	511-0	15	17	0	15	17
53	513-0	15	17	0	15	17
54	515-0	15	17	0	15	17
55	682-0	18	20	0	18	20
56	684-0	18	20	0	18	20
57	133-0	16	18	0	16	18
58	303-0	20	22	0	20	22
59	447-0	17	19	0	17	19
60	447-0	17	19	20	27	29
61	447-0	17	19	40	27	29
62	147-0	28	29	0	28	29
63	147-0	28	29	20	38	39
64	147-0	28	29	40	38	39
65	148-0	32	33	0	32	33
66	148-0	32	33	20	42	43
67	148-0	32	33	40	42	43
68	704-0	35	39	0	35	39
69	704-0	35	39	20	45	49
70	704-0	35	39	40	45	49
71	705-0	42	43	0	42	43
72	705-0	42	43	20	52	53
73	705-0	42	43	40	52	53
74	701-0	23	25	0	23	25
75	701-0	23	25	20	33	35
76	701-0	23	25	40	33	35
77	587-0	19	21	0	19	21
78	559-0	22	24	0	22	24
79	714-0	21	23	0	21	23
80	168-0	24	26	0	24	26
81	225-0	32	34	0	32	34
82	246-0	22	24	0	22	24
83	246-0	22	24	20	32	34
84	246-0	22	24	40	32	34
85	359-0	17	20	0	17	20
86	359-0	17	20	20	27	30
87	359-0	17	20	40	27	30
88	688-0	14	16	0	14	16
89	560-0	40	42	0	40	42
90	013-0	6	9	0	6	9
91	016-0	6	9	0	6	9
92	069-0	10	13	0	10	13
93	129-0	11	14	0	11	14
94	167-0	11	14	0	11	14
95	406-0	11	14	0	11	14
96	504-0	12	15	0	12	15
97	568-0	12	15	0	12	15
98	661-0	6	9	0	6	9
99	669-0	10	13	0	10	13
100	669-0	20	23	0	20	23
101	669-1	10	13	0	10	13
102	669-2	10	13	0	10	13
103	669-3	10	13	0	10	13
104	669-4	10	13	0	10	13
105	669-4	20	23	0	20	23
106	702-0	16	19	0	16	19
107	702-0	16	19	20	26	29
108	702-0	16	19	40	26	29
109	172-0	11	14	0	11	14
110	173-0	11	14	0	11	14
111	014-0	8	11	0	8	11
112	015-0	11	14	0	11	14
113	017-0	19	22	0	19	22
114	018-0	37	40	0	37	40
115	023-0	12	15	0	12	15
116	664-6	6	9	0	6	9
117	665-6	10	13	0	10	13
118	666-6	13	16	0	13	16
119	659-0	12	15	0	12	15
120	662-0	18	21	0	18	21
121	663-0	36	39	0	36	39
122	677-0	13	16	0	13	16
123	670-0	20	23	0	20	23
124	670-1	20	23	0	20	23
125	670-2	20	23	0	20	23
126	670-3	20	23	0	20	23
127	670-4	20	23	0	20	23
128	063-0	18	21	0	18	21
129	353-0	19	22	0	19	22
130	092-0	15	18	0	15	18
131	093-0	26	29	0	26	29
132	333-0	16	19	0	16	19
133	280-0	11	14	0	11	14
134	280-0	11	14	20	21	24
135	280-0	11	14	40	21	24
136	511-0	14	17	0	14	17
137	513-0	14	17	0	14	17
138	515-0	14	17	0	14	17
139	682-0	17	20	0	17	20
140	684-0	17	20	0	17	20
141	133-0	15	18	0	15	18
142	303-0	19	22	0	19	22
143	447-0	16	19	0	16	19
144	447-0	16	19	20	26	29
145	447-0	16	19	40	26	29
146	148-0	31	33	0	31	33
147	148-0	31	33	20	41	43
148	148-0	31	33	40	41	43
149	705-0	41	43	0	41	43
150	705-0	41	43	20	51	53
151	705-0	41	43	40	51	53
152	701-0	22	25	0	22	25
153	701-0	22	25	20	32	35
154	701-0	22	25	40	32	35
155	587-0	18	21	0	18	21
156	559-0	21	24	0	21	24
157	714-0	20	23	0	20	23
158	168-0	23	26	0	23	26
159	225-0	31	34	0	31	34
160	246-0	21	24	0	21	24
161	246-0	21	24	20	31	34
162	246-0	21	24	40	31	34
163	359-0	18	20	0	18	20
164	359-0	18	20	20	28	30
165	359-0	18	20	40	28	30
