编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	013-0	7	10	0	7	10
2	016-0	7	10	0	7	10
3	069-0	11	14	0	11	14
4	129-0	12	15	0	12	15
5	167-0	12	15	0	12	15
6	406-0	12	15	0	12	15
7	504-0	13	16	0	13	16
8	568-0	13	16	0	13	16
9	661-0	7	10	0	7	10
10	669-0	11	14	0	11	14
11	669-1	11	14	0	11	14
12	669-2	11	14	0	11	14
13	669-3	11	14	0	11	14
14	669-4	11	14	0	11	14
15	702-0	17	20	0	17	20
16	702-0	17	20	20	27	30
17	702-0	17	20	40	27	30
18	172-0	12	15	0	12	15
19	173-0	12	15	0	12	15
20	014-0	9	12	0	9	12
21	015-0	12	15	0	12	15
22	017-0	20	23	0	20	23
23	018-0	38	41	0	38	41
24	023-0	13	16	0	13	16
25	664-6	7	10	0	7	10
26	665-6	11	14	0	11	14
27	666-6	14	17	0	14	17
28	659-0	13	16	0	13	16
29	659-0	14	16	0	14	16
30	662-0	19	22	0	19	22
31	663-0	37	40	0	37	40
32	677-0	14	17	0	14	17
33	670-0	21	24	0	21	24
34	670-1	21	24	0	21	24
35	670-2	21	24	0	21	24
36	670-3	21	24	0	21	24
37	670-4	21	24	0	21	24
38	063-0	19	22	0	19	22
39	063-0	19	22	20	29	32
40	353-0	20	23	0	20	23
41	092-0	16	19	0	16	19
42	093-0	27	30	0	27	30
43	333-0	17	20	0	17	20
44	280-0	12	15	0	12	15
45	280-0	12	15	20	22	25
46	280-0	12	15	40	22	25
47	511-0	15	18	0	15	18
48	513-0	15	18	0	15	18
49	515-0	15	18	0	15	18
50	682-0	18	21	0	18	21
51	684-0	18	21	0	18	21
52	684-0	28	31	0	28	31
53	133-0	16	19	0	16	19
54	303-0	20	23	0	20	23
55	447-0	17	20	0	17	20
56	447-0	17	20	20	27	30
57	447-0	17	20	40	27	30
58	147-0	28	29	0	28	29
59	147-0	28	29	20	38	39
60	147-0	28	29	40	38	39
61	148-0	32	34	0	32	34
62	148-0	32	34	20	42	44
63	148-0	32	34	40	42	44
64	704-0	35	39	0	35	39
65	704-0	35	39	20	45	49
66	704-0	35	39	40	45	49
67	705-0	42	44	0	42	44
68	705-0	42	44	20	52	54
69	705-0	42	44	40	52	54
70	701-0	23	26	0	23	26
71	701-0	23	26	20	33	36
72	701-0	23	26	40	33	36
73	587-0	19	22	0	19	22
74	559-0	22	25	0	22	25
75	714-0	21	24	0	21	24
76	168-0	24	27	0	24	27
77	225-0	32	35	0	32	35
78	246-0	22	25	0	22	25
79	246-0	22	25	20	32	35
80	246-0	22	25	40	32	35
81	359-0	18	21	0	18	21
82	359-0	18	21	20	28	31
83	359-0	18	21	40	28	31
84	688-0	14	16	0	14	16
85	560-0	40	42	0	40	42
86	120-0	17	19	0	17	19
87	427-0	16	18	0	16	18
88	013-0	7	9	0	7	9
89	016-0	7	9	0	7	9
90	069-0	11	13	0	11	13
91	129-0	12	14	0	12	14
92	167-0	12	14	0	12	14
93	406-0	12	14	0	12	14
94	504-0	13	15	0	13	15
95	568-0	13	15	0	13	15
96	661-0	7	9	0	7	9
97	669-0	11	13	0	11	13
98	669-1	11	13	0	11	13
99	669-2	11	13	0	11	13
100	669-3	11	13	0	11	13
101	669-4	11	13	0	11	13
102	702-0	17	19	0	17	19
103	702-0	17	19	20	27	29
104	702-0	17	19	40	27	29
105	172-0	12	14	0	12	14
106	173-0	12	14	0	12	14
107	014-0	9	11	0	9	11
108	014-0	19	21	0	19	21
109	015-0	12	14	0	12	14
110	017-0	20	22	0	20	22
111	018-0	38	40	0	38	40
112	023-0	13	15	0	13	15
113	664-6	7	9	0	7	9
114	665-6	11	13	0	11	13
115	666-6	14	16	0	14	16
116	659-0	13	15	0	13	15
117	662-0	19	21	0	19	21
118	663-0	37	39	0	37	39
119	677-0	14	16	0	14	16
120	670-0	21	23	0	21	23
121	670-1	21	23	0	21	23
122	670-2	21	23	0	21	23
123	670-3	21	23	0	21	23
124	670-4	21	23	0	21	23
125	063-0	19	21	0	19	21
126	353-0	20	22	0	20	22
127	092-0	16	18	0	16	18
128	093-0	27	29	0	27	29
129	333-0	17	19	0	17	19
130	280-0	12	14	0	12	14
131	280-0	12	14	20	22	24
132	280-0	12	14	40	22	24
133	511-0	15	17	0	15	17
134	513-0	15	17	0	15	17
135	515-0	15	17	0	15	17
136	682-0	18	20	0	18	20
137	684-0	18	20	0	18	20
138	133-0	16	18	0	16	18
139	303-0	20	22	0	20	22
140	447-0	17	19	0	17	19
141	447-0	17	19	20	27	29
142	447-0	17	19	40	27	29
143	148-0	32	33	0	32	33
144	148-0	32	33	20	42	43
145	148-0	32	33	40	42	43
146	705-0	42	43	0	42	43
147	705-0	42	43	20	52	53
148	705-0	42	43	40	52	53
149	701-0	23	25	0	23	25
150	701-0	23	25	20	33	35
151	701-0	23	25	40	33	35
152	587-0	19	21	0	19	21
153	559-0	22	24	0	22	24
154	714-0	21	23	0	21	23
155	168-0	24	26	0	24	26
156	225-0	32	34	0	32	34
157	246-0	22	24	0	22	24
158	246-0	22	24	20	32	34
159	246-0	22	24	40	32	34
160	359-0	18	20	0	18	20
161	359-0	18	20	20	28	30
162	359-0	18	20	40	28	30
