编号	X	Z	Y	头目	重生时间	最小半径	最大半径	宝可梦列表
1	1898	70	3785		300	1	1	013-0+6+8
2	1286	-8	3555		300	1	1	013-0+6+8
3	1819	36	3184		300	1	1	016-0+6+8
4	1813	36	3184		300	1	1	016-0+6+8
5	2005	46	2779		300	1	1	016-0+6+8
6	1871	57	2841		300	1	1	016-0+6+8
7	1425	9	3734		300	1	1	016-0+6+8
8	1455	-3	3116		300	1	1	016-0+6+8
9	1970	8	3448		300	1	1	069-0+10+12
10	1969	8	3630		300	1	1	069-0+10+12
11	1724	16	3086		300	1	2	069-0+10+12
12	1625	70	3740		300	2	3	069-0+10+12
13	1707	16	3065		300	1	1	069-0+10+12
14	1598	26	3788		300	1	2	069-0+10+12
15	1626	26	3796		300	1	2	069-0+10+12
16	1372	96	3436		300	2	3	129-0+11+13
17	1426	71	3684		300	1	1	129-0+11+13
18	1747	70	3769		300	1	1	167-0+11+13
19	1637	70	3102		300	1	1	167-0+11+13
20	1971	8	3482		300	1	1	406-0+11+13
21	1968	8	3499		300	1	1	406-0+11+13
22	1960	18	3245		300	1	2	406-0+11+13
23	1269	16	3237		300	1	2	406-0+11+13
24	1351	9	3693		300	1	1	504-0+12+14
25	1343	9	3717		300	1	1	504-0+12+14
26	1439	62	3606		300	1	1	504-0+12+14
28	1894	70	2847		300	1	1	568-0+12+14
29	1850	61	3160		300	1	1	661-0+6+8
30	1955	3	3001		300	1	1	661-0+6+8
31	1935	3	2982		300	1	1	661-0+6+8
32	1936	-10	2999		300	1	1	661-0+6+8
33	1547	68	3080		300	2	2	661-0+6+8
34	1184	47	3724		300	1	1	661-0+6+8
35	1710	61	3666		300	1	1	661-0+6+8
36	1345	54	3062		300	1	1	661-0+6+8
37	1796	59	2943		300	1	1	661-0+6+8
38	1585	-5	3274		300	1	1	661-0+6+8
39	1816	1	3664		300	1	1	661-0+6+8
40	1969	7	3554		300	1	1	669-4+10+12
41	1970	7	3573		300	1	1	669-4+10+12
42	1852	10	3824		300	1	1	669-3+10+12
43	1962	7	3729		300	1	1	669-3+10+12
44	1555	17	3249		300	1	1	702-0+16+18+20+26+28+10|504-0+12+14++++90
46	1230	17	3655		300	1	1	017-0+19+21
47	1211	7	3339		300	1	1	018-0+37+39
48	1276	96	3624		300	1	1	664-6+6+8
49	1330	82	3638		300	1	1	665-6+10+12
50	1758	11	2863		300	1	2	353-0+19+21+++++夜
51	1282	64	3307		300	1	2	092-0+15+17+++++夜
52	1356	27	3277		300	1	2	092-0+15+17+++++夜
53	1279	65	3312		300	1	2	092-0+15+17+++++夜
54	1467	76	3445		300	1	2	092-0+15+17+++++夜
55	1276	76	3467		300	1	2	092-0+15+17+++++夜
56	1581	70	3735		300	1	1	280-0+11+13+20+21+23
57	1096	15	3563		300	1	1	511-0+14+17++++33.33|513-0+14+17++++33.33|515-0+14+17++++33.33
58	1052	9	3564		300	1	1	511-0+14+17++++33.33|513-0+14+17++++33.33|515-0+14+17++++33.33
59	1327	62	3542		300	1	1	684-0+17+19++++50|682-0+17+19++++50
60	1404	71	3303		300	1	1	684-0+17+19++++50|682-0+17+19++++50
61	1450	-3	3656		300	1	1	133-0+15+17+++++日+晴
62	1468	18	3222		300	1	1	447-0+16+18+20+26+28++日+晴
63	1921	-5	2865		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+42+20+51+52+5++阴
64	1253	96	3602		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+42+20+51+52+5++阴
65	1425	95	3185		300	2	2	704-0+35+39+20+45+49+95++阴|705-0+41+42+20+51+52+5++阴
66	1969	8	3533		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+42+20+51+52+5++阴
67	1909	13	3090		300	1	1	701-0+22+24+20+32+34+10|016-0+6+8++++90
68	1260	95	3387		300	1	1	168-0+23+25
69	1907	101	2743		300	1	1	168-0+23+25
70	1762	9	3624		300	1	1	225-0+31+33
71	1795	7	3724		300	1	1	246-0+21+23+20+31+33
72	1395	-5	3671		300	1	1	333-0+16+18++++10++晴|016-0+6+8++++90++晴
73	1425	96	3181		300	4	4	688-0+14+16
74	1419	96	3190		300	1	2	688-0+14+16
75	1432	96	3176		300	1	1	688-0+14+16
76	1895	66	3054		300	2	2	427-0+16+18++++50
77	1899	66	3049		300	1	1	659-0+14+16++++50
78	900	46	3248		300	1	1	016-0+6+9
79	1091	54	2862		300	1	1	016-0+6+9
80	384	47	2955		300	1	1	016-0+6+9
81	264	47	2688		300	1	1	016-0+6+9
82	881	18	2842		300	1	1	069-0+10+13
83	839	18	2898		300	1	1	069-0+10+13
84	747	0	3033		300	1	1	406-0+11+14
85	713	0	3073		300	1	1	406-0+11+14
86	681	0	3113		300	1	1	406-0+11+14
87	1112	-43	2439		300	1	1	406-0+11+14
88	1094	70	2397		300	1	1	406-0+11+14
89	1005	15	3169		300	1	1	504-0+12+15
90	1058	65	3201		300	1	1	504-0+12+15
91	1072	65	3200		300	1	1	504-0+12+15
92	1152	-51	2655		300	1	1	661-0+6+9
93	967	10	2723		300	1	1	661-0+6+9
94	985	10	2717		300	1	1	661-0+6+9
95	784	47	2497		300	1	1	661-0+6+9
96	1316	56	2347		300	1	1	661-0+6+9
97	951	64	2885		300	3	3	661-0+6+9
98	1071	31	2617		300	1	1	661-0+6+9
99	1112	-39	2685		300	1	1	669-4+10+13|670-4+20+23
100	1122	64	3249		300	1	1	669-2+10+13
101	1074	-44	2496		300	1	1	702-0+16+19+20+26+29+50|661-0+6+9++++50
102	1007	19	3066		300	1	1	702-0+16+19+20+26+29+50|661-0+6+9++++50
103	1203	1	2824		300	1	1	173-0+11+14
104	1294	-33	2401		300	1	2	664-6+6+9|666-6+13+16
105	1295	-33	2401		300	1	1	665-6+10+13
107	974	16	3352		300	1	1	659-0+12+15
108	948	16	3395		300	1	1	659-0+12+15
109	1213	0	2957		300	1	1	659-0+12+15
110	1049	-26	2572		300	1	1	677-0+13+16
112	919	54	2645		300	1	1	092-0+15+18+++++夜
113	1217	65	2477		300	1	1	092-0+15+18+++++夜
114	867	65	3084		300	1	1	092-0+15+18+++++夜
115	739	65	3207		300	1	1	092-0+15+18+++++夜
116	915	-16	2546		300	1	1	359-0+17+20+20+27+30
117	1031	0	2917	1	300	1	1	511-0+24+27+100+24+27+33.33|513-0+24+27+100+24+27+33.33|515-0+24+27+100+24+27+33.33
118	873	59	3617		300	1	1	684-0+17+20++++50|682-0+17+20++++50
119	1150	57	2995		300	1	1	684-0+17+20
120	1153	68	2992		300	2	2	684-0+17+20
121	1149	69	3019		300	2	3	684-0+17+20
122	1045	15	3263		300	1	1	303-0+19+22++++50+夜|092-0+15+18++++50+夜
123	532	9	3023		300	1	1	147-0+28+29+20+38+39+95|148-0+31+33+20+41+43+5
124	637	75	3016		300	1	1	704-0+35+39+20+45+49+95++阴|705-0+41+43+20+51+53+5++阴
125	1227	-9	3068		300	1	1	701-0+22+25+20+32+35+50|016-0+6+9++++50
126	1257	3	2622		300	1	1	701-0+22+25+20+32+35+9.52|016-0+6+9++++90.48
127	897	9	3043		300	1	1	559-0+21+24
128	947	7	3473		300	1	1	333-0+16+19++++10++晴|661-0+6+9++++90++晴
