编号	X	Z	Y	委托人	中文名	奖金	道具
1	2315	127	1059	吕犹	巨大的掘掘兔	400	美味之水×2
2	2182	127	345	娇环	好想使用进化用的石头！	800	精灵球×5|伤药×3
3	2092	127	569	惠艺	墓地的勾魂眼	4000	活力碎片×2
4	1808	127	1194	修西	休息时间打一场！	1200	经验糖果Ｓ×3|美味之水×1
5	1483	127	2053	艾好	阿柏蛇的尾巴是什么手感？	500	桃桃果×3|樱子果×3|劲爽汽水×1
6	1624	127	2706	袁离	用远程招式聪明应对	1000	金珠×1
7	2401	127	1376	筑澈	充满干劲的哈力栗	1000	经验糖果ＸＳ×3|经验糖果Ｓ×1
8	1516	127	1707	淑芝	为火狐狸提供帮助	1200	经验糖果ＸＳ×3|经验糖果Ｓ×1
9	3606	127	1130	菲巴	呱呱泡蛙的战书	1800	经验糖果ＸＳ×3|经验糖果Ｓ×1
10	2074	127	3666	香琪	坐骑小羊的叶子真好闻	800	香袋×2|柿仔果×5
11	2379	127	1805	静桦	向往成为铁壳蛹行家	700	银粉×1|捕网球×5
12	917	127	3482	缤芬	五颜六色的花蓓蓓们	1500	神奇糖果×1
13	3134	127	917	辉桦	小木灵和喷泉	1000	捕网球×3
14	424	127	2642	克里姆	隔壁咖啡馆的胖甜妮	3000	泡沫奶油×1
15	1787	127	1319	汀婷	差不多娃娃的心情	900	活力碎片×3|好伤药×5
16	1989	127	3184	源逸	含羞苞品鉴会	10000	奇迹种子×1
17	2438	127	3733	荣蓉	异色的咩利羊……？	500	美丽之羽×3
18	2811	127	2996	荣蓉	花椰猴、爆香猴、冷水猴茶	1000	ＨＰ增强剂×3|白色香草×1
19	2942	127	2536	古杜莉	毒麻战术大比拼	1200	伤药×5|精灵球×3
20	3796	127	2008	湛树	我的树果是橙橙果	900	橙橙果×10|经验糖果ＸＳ×2
21	2482	127	182	皮亚柏	美术馆的粉蝶蛹	3000	博识眼镜×1|一般宝石×3
22	2187	127	3956	茉蜜姬	茉蜜姬的请求	1000	经验糖果ＸＳ×3|经验糖果Ｓ×2
23	2078	127	3748	娃蒂	全息传送梯的地里面是……	1500	柔软沙子×1|活力碎片×1
24	2435	127	1170	斐岳	好想和凯西一起玩	300	经验糖果ＸＳ×5
25	1341	127	1199	枫薇	咖啡馆的顾客是破破袋	1200	神奇糖果×2|黑暗球×5
26	1310	127	949	火立	熊熊燃烧吧！小狮狮的火焰！	900	招式学习器０５７×1|火之石×1
27	2193	127	3956	余恒	从化石里复活的宝可梦	2500	硬石头×1|藻根果×10
28	1892	127	3760	班伊	一般属性最强论	3000	丝绸围巾×1
29	3671	127	2750	餐厅	对战全餐・一星	300	招式学习器０８５×1|攻击增强剂×2|防御增强剂×2
30	1990	127	3315	然彤	好想亲眼看看超级喷火驼！	1200	美味之水×2
31	1991	127	3315	然彤	好想亲眼看看超级勾魂眼！	3000	劲爽汽水×2
32	1992	127	3315	然彤	好想亲眼看看超级恰雷姆！	5000	果汁牛奶×2|经验糖果Ｍ×1
33	2306	127	2854	岳齐	鲤鱼王比大小	1500	珍珠×1|经验糖果Ｓ×10
34	3133	127	1118	毕强	减少伤害的墙壁招式	1100	招式学习器０３１×1|果汁牛奶×1
35	2529	127	1698	明香	瑜伽大师的指引	2000	弯曲的汤匙×1|经验糖果ＸＳ×5
36	656	127	2422	妮爱	亲密伙伴齐加油	3000	安抚之铃×1
37	705	127	1589	圭焦	龟脚脚和船	1500	珍珠×3
38	909	127	1767	友利	用变化招式占据上风！	2500	攻击增强剂×3|特攻增强剂×3|力量护腕×1
39	396	127	3015	佑哉	想用呆呆兽交换呆呆兽	1000	珍珠×1|力量腰带×1
40	3309	127	3380	典立	电力不足的全息传送梯	1700	高级球×3|超级碎片×10
41	2484	127	3719	瑟娴	小心陷阱	1300	招式学习器０８８×1|好伤药×5
42	3843	127	2099	瑶晶	我推妖精属性！	2400	妖精之羽×1
43	1212	127	2142	达兴	麻烦无比的独角虫	1500	文柚果×5|哈密果×5|罗子果×5
44	2074	127	3666	香琪	迷你冰的雪真好闻	2500	叶之石×1|冷静薄荷×3
45	1511	127	3797	寇可	认真的维修员	800	认真薄荷×1|灯浆果×1
46	3070	127	2230	霍运	飞翔的大比鸟们	2600	招式学习器０４３×1|重复球×5
