编号	名称	地点	X	Y	头目	宝可梦列表
1	spn_d01_01_001	弗拉达利研究所	1128	1220		023-0+47+48+5+10
2	spn_d01_01_006	弗拉达利研究所	1150	1300		023-0+47+48+5+10
3	spn_d01_01_016	弗拉达利研究所	1020	1274	1	024-0+49+50+100+10
4	spn_d01_01_021	弗拉达利研究所	696	1756		228-0+47+48+5+10
5	spn_d01_01_031	弗拉达利研究所	649	1805		229-0+49+50+5+10
6	spn_d01_01_032	弗拉达利研究所	1367	1162		229-0+49+50+5+10
7	spn_d01_01_033	弗拉达利研究所	1465	1714		229-0+49+50+5+10
8	spn_d01_01_061	弗拉达利研究所	832	1168		309-0+47+48+5+10
9	spn_d01_01_071	弗拉达利研究所	1212	1037		310-0+49+50+5+10
10	spn_d01_01_072	弗拉达利研究所	873	1102		310-0+49+50+5+10
11	spn_d01_01_073	弗拉达利研究所	1854	1386		310-0+49+50+5+10
12	spn_d01_01_081	弗拉达利研究所	370	1471		374-0+49+50+5+10
13	spn_d01_01_082	弗拉达利研究所	307	1454		374-0+49+50+10+10+50|375-0+49+50+5+10+50
14	spn_d01_01_161	弗拉达利研究所	910	1824		715-0+49+50+5+10
15	spn_d01_01_162	弗拉达利研究所	1503	1368		715-0+49+50+5+10
16	spn_d01_01_131	弗拉达利研究所	1397	535		679-0+47+48+20+10
17	spn_d01_01_132	弗拉达利研究所	1538	579		679-0+47+48+5+10
18	spn_d01_01_141	弗拉达利研究所	1505	444		680-0+49+50+5+10
