编号	名称	地点	X	Y	头目	宝可梦列表
1	spn_d02_02_001	下水道 2	562	161		714-0+38+39+5+10
2	spn_d02_02_002	下水道 2	428	328		714-0+38+39+5+10
3	spn_d02_02_003	下水道 2	562	495		714-0+38+39+5+10
4	spn_d02_02_011	下水道 2	1503	896		686-0+38+39+5+10
5	spn_d02_02_012	下水道 2	1097	323		686-0+38+39+5+10
6	spn_d02_02_013	下水道 2	999	327		686-0+38+39+10+10
7	spn_d02_02_021	下水道 2	1207	1062		690-0+38+39+5+10
8	spn_d02_02_022	下水道 2	1725	1118		690-0+38+39+5+10
9	spn_d02_02_023	下水道 2	688	1436		690-0+38+39+10+10
10	spn_d02_02_031	下水道 2	562	1164		168-0+38+39+5+10
11	spn_d02_02_032	下水道 2	395	1331		168-0+38+39+5+10
12	spn_d02_02_033	下水道 2	445	1385		168-0+38+39+10+10
