编号	名称	地点	X	Y	头目	宝可梦列表
1	spn_d02_01_001	下水道 1	1458	1877		559-0+34+36+5+11+50|559-0+35+37+10+11+50
2	spn_d02_01_002	下水道 1	1458	1746		559-0+34+36+5+11
3	spn_d02_01_003	下水道 1	1595	1427		559-0+34+36+5+11
4	spn_d02_01_011	下水道 1	1055	559		607-0+34+36+5+11
5	spn_d02_01_012	下水道 1	1117	559		607-0+35+37+10+11
6	spn_d02_01_013	下水道 1	836	418		607-0+35+37+10+11
7	spn_d02_01_022	下水道 1	1001	1055		707-0+35+36+5+11
8	spn_d02_01_023	下水道 1	907	1122		707-0+36+37+10+11
9	spn_d02_01_031	下水道 1	1075	1714		714-0+34+36+5+11
10	spn_d02_01_032	下水道 1	900	1768		714-0+34+36+5+11
11	spn_d02_01_033	下水道 1	916	1613		714-0+34+36+5+11
12	spn_d02_01_034	下水道 1	900	1861		714-0+35+37+10+11
13	spn_d02_01_035	下水道 1	1347	1602		714-0+34+36+5+11
14	spn_d02_01_036	下水道 1	1353	869		714-0+34+36+5+11
15	spn_d02_01_037	下水道 1	1607	862		714-0+34+36+5+11
16	spn_d02_01_038	下水道 1	1459	753		714-0+34+36+5+11
17	spn_d02_01_051	下水道 1	1086	683		504-0+34+35+5+11
18	spn_d02_01_052	下水道 1	1086	761		504-0+34+35+5+11
19	spn_d02_01_061	下水道 1	1644	1644		686-0+35+37+5+11
20	spn_d02_01_062	下水道 1	1644	1551		686-0+35+37+5+11
21	spn_d02_01_063	下水道 1	528	1240		686-0+35+37+5+11
22	spn_d02_01_081	下水道 1	1195	307		690-0+34+36+5+11+80|691-0+48+49+5+10+20
23	spn_d02_01_082	下水道 1	1024	311		690-0+34+36+5+11
24	spn_d02_01_083	下水道 1	1024	125		690-0+34+36+5+11
25	spn_d02_01_084	下水道 1	1468	466		690-0+34+36+5+11
26	spn_d02_01_085	下水道 1	1449	528		690-0+34+36+5+11
27	spn_d02_01_086	下水道 1	1573	1055		690-0+34+36+5+11+80|691-0+48+49+5+10+20
28	spn_d02_01_087	下水道 1	1645	713		690-0+34+36+5+11
29	spn_d02_01_088	下水道 1	1643	621		690-0+34+36+5+11
30	spn_d02_01_091	下水道 1	1458	1055		092-0+34+35+5+11
31	spn_d02_01_112	下水道 1	838	346		093-0+36+37+5+11
32	spn_d02_01_121	下水道 1	418	1240		704-0+36+37+5+11
