编号	形态编号	超级形态编号	超级石	超级石获取方式
3	0	1	妙蛙花进化石	失控超级进化（主任务 29）
6	0	1	喷火龙进化石Ｘ	石头馆购买
6	0	2	喷火龙进化石Ｙ	石头馆购买
9	0	1	水箭龟进化石	石头馆购买
15	0	1	大针蜂进化石	失控超级进化（主任务 16）
18	0	1	大比鸟进化石	阔星公司兑换
26	0	2	雷丘进化石Ｘ	
26	0	3	雷丘进化石Ｙ	
36	0	1	皮可西进化石	阔星公司兑换（主任务 30 之后）
65	0	1	胡地进化石	阔星公司兑换
71	0	1	大食花进化石	失控超级进化（主任务 13）
80	0	1	呆壳兽进化石	失控超级进化（主任务 11）
94	0	1	耿鬼进化石	石头馆购买
115	0	1	袋兽进化石	石头馆购买
121	0	1	宝石海星进化石	失控超级进化（主任务 34）
127	0	1	凯罗斯进化石	阔星公司兑换（主任务 14 之后）
130	0	1	暴鲤龙进化石	阔星公司兑换
142	0	1	化石翼龙进化石	阔星公司兑换
149	0	1	快龙进化石	失控超级进化（主任务 32）
150	0	1	超梦进化石Ｘ	神秘礼物
150	0	2	超梦进化石Ｙ	神秘礼物
154	0	1	大竺葵进化石	最初的伙伴选择菊草叶时，主任务 10|石头馆购买
160	0	1	大力鳄进化石	最初的伙伴选择小锯鳄时，主任务 10|石头馆购买
181	0	1	电龙进化石	失控超级进化（主任务 23）
208	0	1	大钢蛇进化石	石头馆购买
212	0	1	巨钳螳螂进化石	石头馆购买
214	0	1	赫拉克罗斯进化石	阔星公司兑换
227	0	1	盔甲鸟进化石	阔星公司兑换（主任务 24 之后）
229	0	1	黑鲁加进化石	阔星公司兑换
248	0	1	班基拉斯进化石	失控超级进化（主任务 33）
254	0	1	蜥蜴王进化石	赛季奖励（第 5 赛季）
257	0	1	火焰鸡进化石	赛季奖励（第 7 赛季）
260	0	1	巨沼怪进化石	赛季奖励（第 6 赛季）
282	0	1	沙奈朵进化石	阔星公司兑换（主任务 24 之后）|早期购入特典
302	0	1	勾魂眼进化石	阔星公司兑换
303	0	1	大嘴娃进化石	失控超级进化（主任务 21）
306	0	1	波士可多拉进化石	阔星公司兑换（主任务 19 之后）
308	0	1	恰雷姆进化石	石头馆购买
310	0	1	雷电兽进化石	阔星公司兑换
319	0	1	巨牙鲨进化石	阔星公司兑换
323	0	1	喷火驼进化石	失控超级进化（主任务 12）
334	0	1	七夕青鸟进化石	失控超级进化（主任务 28）
354	0	1	诅咒娃娃进化石	失控超级进化（主任务 18）
358	0	1	风铃铃进化石	
359	0	1	阿勃梭鲁进化石	失控超级进化（主任务 9）
359	0	2	阿勃梭鲁进化石Ｚ	
362	0	1	冰鬼护进化石	阔星公司兑换（主任务 14 之后）
373	0	1	暴飞龙进化石	阔星公司兑换（主任务 30 之后）
376	0	1	巨金怪进化石	阔星公司兑换（主任务 30 之后）
380	0	1	拉帝亚斯进化石	
381	0	1	拉帝欧斯进化石	
398	0	1	姆克鹰进化石	
428	0	1	长耳兔进化石	阔星公司兑换
445	0	1	烈咬陆鲨进化石	石头馆购买
445	0	2	烈咬陆鲨进化石Ｚ	
448	0	1	路卡利欧进化石	阔星公司兑换
448	0	2	路卡利欧进化石Ｚ	
460	0	1	暴雪王进化石	石头馆购买
475	0	1	艾路雷朵进化石	阔星公司兑换（主任务 24 之后）
478	0	1	雪妖女进化石	失控超级进化（主任务 27）
485	0	1	席多蓝恩进化石	
491	0	1	达克莱伊进化石	
500	0	1	炎武王进化石	最初的伙伴选择暖暖猪时，主任务 10|石头馆购买
530	0	1	龙头地鼠进化石	阔星公司兑换（主任务 14 之后）
531	0	1	差不多娃娃进化石	阔星公司兑换
545	0	1	蜈蚣王进化石	阔星公司兑换（主任务 24 之后）
560	0	1	头巾混混进化石	阔星公司兑换（主任务 30 之后）
604	0	1	麻麻鳗鱼王进化石	阔星公司兑换（主任务 14 之后）
609	0	1	水晶灯火灵进化石	阔星公司兑换（主任务 19 之后）
623	0	1	泥偶巨人进化石	
652	0	1	布里卡隆进化石	赛季奖励（第 3-4 赛季）
655	0	1	妖火红狐进化石	赛季奖励（第 2-4 赛季）
658	0	3	甲贺忍蛙进化石	赛季奖励（第 1-4 赛季）
668	0	1	火炎狮进化石	阔星公司兑换（主任务 35 之后）
670	5	6	花叶蒂进化石	ＺＡ登峰战获胜 15 次
678	0	2	超能妙喵进化石	
678	1	3	超能妙喵进化石	
687	0	1	乌贼王进化石	阔星公司兑换（主任务 35 之后）
689	0	1	龟足巨铠进化石	失控超级进化（主任务 22）
691	0	1	毒藻龙进化石	阔星公司兑换（主任务 30 之后）
701	0	1	摔角鹰人进化石	失控超级进化（主任务 17）
718	4	5	基格尔德进化石	主任务 37
719	0	1	蒂安希进化石	神秘礼物
740	0	1	好胜毛蟹进化石	
768	0	1	具甲武者进化石	
780	0	1	老翁龙进化石	阔星公司兑换
801	0	2	玛机雅娜进化石	
801	1	3	玛机雅娜进化石	
807	0	1	捷拉奥拉进化石	
870	0	1	列阵兵进化石	阔星公司兑换（主任务 19 之后）
939	0	1	狠辣椒进化石	
967	0	1	晶光花进化石	
952	0	3	米立龙进化石	
952	1	4	米立龙进化石	
952	2	5	米立龙进化石	
951	0	1	戟脊龙进化石	赛季奖励（第 4 赛季）
